# X2 (y-model)  G=360  L=j/G  depth=30 cap=20000
# j i kill comps lambda maxoutdeg verdict
121 121 -1 2 1.0000 1 CYCLE
121 122 -1 2 1.0000 1 CYCLE
121 123 -1 2 1.0000 1 CYCLE
121 124 -1 2 1.0000 1 CYCLE
121 125 -1 2 1.0000 1 CYCLE
121 126 -1 2 1.0000 1 CYCLE
121 127 -1 2 1.0000 1 CYCLE
121 128 -1 2 1.0000 1 CYCLE
121 129 -1 2 1.0000 1 CYCLE
121 130 -1 2 1.0000 1 CYCLE
121 131 -1 2 1.0000 1 CYCLE
121 132 -1 2 1.0000 1 CYCLE
121 133 -1 2 1.0000 1 CYCLE
121 134 -1 2 1.0000 1 CYCLE
121 135 -1 2 1.0000 1 CYCLE
121 136 -1 2 1.0000 1 CYCLE
121 137 -1 2 1.0000 1 CYCLE
121 138 -1 2 1.0000 1 CYCLE
121 139 -1 2 1.0000 1 CYCLE
121 140 -1 2 1.0000 1 CYCLE
121 141 -1 2 1.0000 1 CYCLE
121 142 -1 2 1.0000 1 CYCLE
121 143 -1 31 1.0365 2 FAT
121 144 -1 151 1.1422 2 FAT
121 145 -1 44 1.0659 2 FAT
121 146 -1 61 1.0919 2 FAT
121 147 -1 14 1.0000 1 CYCLE
121 148 -1 7 1.0000 1 CYCLE
121 149 -1 7 1.0000 1 CYCLE
121 150 -1 48 1.0756 2 FAT
121 151 -1 60 1.0889 2 FAT
121 152 -1 5 1.0000 1 CYCLE
121 153 -1 5 1.0000 1 CYCLE
121 154 -1 5 1.0000 1 CYCLE
121 155 -1 5 1.0000 1 CYCLE
121 156 -1 5 1.0000 1 CYCLE
121 157 -1 5 1.0000 1 CYCLE
121 158 -1 5 1.0000 1 CYCLE
121 159 -1 5 1.0000 1 CYCLE
121 160 -1 95 1.1129 2 FAT
121 161 -1 8 1.0000 1 CYCLE
121 162 -1 8 1.0000 1 CYCLE
121 163 -1 94 1.1073 2 FAT
121 164 -1 71 1.1004 2 FAT
121 165 -1 3 1.0000 1 CYCLE
121 166 -1 3 1.0000 1 CYCLE
121 167 -1 3 1.0000 1 CYCLE
121 168 -1 3 1.0000 1 CYCLE
121 169 -1 3 1.0000 1 CYCLE
121 170 -1 3 1.0000 1 CYCLE
121 171 -1 3 1.0000 1 CYCLE
121 172 -1 3 1.0000 1 CYCLE
121 173 -1 3 1.0000 1 CYCLE
121 174 -1 3 1.0000 1 CYCLE
121 175 -1 3 1.0000 1 CYCLE
121 176 -1 3 1.0000 1 CYCLE
121 177 -1 3 1.0000 1 CYCLE
121 178 -1 3 1.0000 1 CYCLE
121 179 -1 3 1.0000 1 CYCLE
121 180 -1 3 1.0000 1 CYCLE
121 181 -1 3 1.0000 1 CYCLE
121 182 -1 3 1.0000 1 CYCLE
121 183 -1 3 1.0000 1 CYCLE
121 184 -1 3 1.0000 1 CYCLE
121 185 -1 3 1.0000 1 CYCLE
121 186 -1 3 1.0000 1 CYCLE
121 187 -1 3 1.0000 1 CYCLE
121 188 -1 3 1.0000 1 CYCLE
121 189 -1 118 1.1289 2 FAT
121 190 -1 35 1.0577 2 FAT
121 191 -1 38 1.0653 2 FAT
121 192 -1 7 1.0000 1 CYCLE
121 193 -1 7 1.0000 1 CYCLE
121 194 -1 52 1.0843 2 FAT
121 195 -1 78 1.1043 2 FAT
121 196 -1 4 1.0000 1 CYCLE
121 197 -1 4 1.0000 1 CYCLE
121 198 -1 4 1.0000 1 CYCLE
121 199 -1 4 1.0000 1 CYCLE
121 200 -1 4 1.0000 1 CYCLE
121 201 -1 4 1.0000 1 CYCLE
121 202 -1 4 1.0000 1 CYCLE
121 203 -1 4 1.0000 1 CYCLE
121 204 -1 4 1.0000 1 CYCLE
121 205 -1 4 1.0000 1 CYCLE
121 206 -1 4 1.0000 1 CYCLE
121 207 -1 4 1.0000 1 CYCLE
121 208 -1 4 1.0000 1 CYCLE
121 209 -1 4 1.0000 1 CYCLE
121 210 -1 103 1.1207 2 FAT
121 211 -1 9 1.0000 1 CYCLE
121 212 -1 83 1.1074 2 FAT
121 213 -1 5 1.0000 1 CYCLE
121 214 -1 5 1.0000 1 CYCLE
121 215 -1 5 1.0000 1 CYCLE
121 216 -1 5 1.0000 1 CYCLE
121 217 -1 5 1.0000 1 CYCLE
121 218 -1 5 1.0000 1 CYCLE
121 219 -1 5 1.0000 1 CYCLE
121 220 -1 5 1.0000 1 CYCLE
121 221 -1 65 1.0936 2 FAT
121 222 -1 58 1.0878 2 FAT
121 223 -1 6 1.0000 1 CYCLE
121 224 -1 6 1.0000 1 CYCLE
121 225 -1 6 1.0000 1 CYCLE
121 226 -1 6 1.0000 1 CYCLE
121 227 -1 6 1.0000 1 CYCLE
121 228 -1 92 1.1145 2 FAT
121 229 -1 7 1.0000 1 CYCLE
121 230 -1 7 1.0000 1 CYCLE
121 231 -1 7 1.0000 1 CYCLE
121 232 -1 68 1.0925 2 FAT
121 233 -1 8 1.0000 1 CYCLE
121 234 -1 8 1.0000 1 CYCLE
